BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.081653
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.107978
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.103222
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.103624
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.110456
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.138589
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.135776
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.129881
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.169469
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.184674
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.198406
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.171880
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.210865
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.211736
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.233170
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.197736
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.248108
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.242481
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.262978
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.232233
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.262643
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.257418
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.273361
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.248175
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.258624
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.246835
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.264251
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.239333
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.254873
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.237658
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.256079
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.232567
