BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.043071
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.095988
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.043071
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.108045
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.043071
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.120839
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.043673
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.124724
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.043539
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.096524
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.043539
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.113604
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.043539
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.142809
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.045013
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.155670
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.045616
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.087481
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.045616
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.115413
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.046420
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.161967
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.055730
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.177306
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.044008
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.076027
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.044008
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.106303
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.048697
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.171143
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.060888
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.187019
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.044276
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.063635
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.044276
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.097729
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.055663
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.170875
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.074352
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.190435
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.043338
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.058745
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.043338
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.082658
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.065778
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.173019
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.097528
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.200616
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.046822
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.052381
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.046822
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.075625
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.091634
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.173823
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.134503
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.207114
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.043004
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.043941
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.044276
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.056869
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.101078
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.139929
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.141805
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.177239
