FV with k=4, Z-score, SVM with linear kernel, C=0.000500, score=0.240539
FV with k=4, Z-score, SVM with rbf kernel, C=0.500000, score=0.269810
FV with k=4, Z-score, SVM with linear kernel, C=0.001000, score=0.262643
FV with k=4, Z-score, SVM with rbf kernel, C=1.000000, score=0.272356
FV with k=4, Z-score, SVM with linear kernel, C=0.005000, score=0.270212
FV with k=4, Z-score, SVM with rbf kernel, C=5.000000, score=0.257619
FV with k=4, Z-score, SVM with linear kernel, C=0.010000, score=0.267801
FV with k=4, Z-score, SVM with rbf kernel, C=10.000000, score=0.249447
FV with k=8, Z-score, SVM with linear kernel, C=0.000500, score=0.244692
FV with k=8, Z-score, SVM with rbf kernel, C=0.500000, score=0.269409
FV with k=8, Z-score, SVM with linear kernel, C=0.001000, score=0.261036
FV with k=8, Z-score, SVM with rbf kernel, C=1.000000, score=0.266260
FV with k=8, Z-score, SVM with linear kernel, C=0.005000, score=0.268672
FV with k=8, Z-score, SVM with rbf kernel, C=5.000000, score=0.255208
FV with k=8, Z-score, SVM with linear kernel, C=0.010000, score=0.265323
FV with k=8, Z-score, SVM with rbf kernel, C=10.000000, score=0.249380
FV with k=16, Z-score, SVM with linear kernel, C=0.000500, score=0.248711
FV with k=16, Z-score, SVM with rbf kernel, C=0.500000, score=0.255543
FV with k=16, Z-score, SVM with linear kernel, C=0.001000, score=0.256146
FV with k=16, Z-score, SVM with rbf kernel, C=1.000000, score=0.253801
FV with k=16, Z-score, SVM with linear kernel, C=0.005000, score=0.255074
FV with k=16, Z-score, SVM with rbf kernel, C=5.000000, score=0.247170
FV with k=16, Z-score, SVM with linear kernel, C=0.010000, score=0.251591
FV with k=16, Z-score, SVM with rbf kernel, C=10.000000, score=0.242883
