BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.069998
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.136178
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.085404
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.139460
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.113805
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.137986
BOW with k=8, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.121375
BOW with k=8, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.136982
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.088285
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.174426
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.113470
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.178646
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.147029
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.182330
BOW with k=16, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.158082
BOW with k=16, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.176368
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.118360
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.195325
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.140130
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.201889
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.176770
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.196396
BOW with k=32, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.182665
BOW with k=32, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.188559
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.149508
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.215152
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.172349
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.220510
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.204903
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.214549
BOW with k=64, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.210396
BOW with k=64, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.205908
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.177440
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.225735
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.203764
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.234242
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.221046
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.226003
BOW with k=128, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.221850
BOW with k=128, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.221113
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.205439
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.229151
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.226271
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.243419
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.232166
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.235113
BOW with k=256, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.225534
BOW with k=256, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.231764
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.229352
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.224262
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.239065
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.244424
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.227209
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.240070
BOW with k=512, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.213343
BOW with k=512, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.235984
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.000500, score=0.240873
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=0.500000, score=0.223123
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.001000, score=0.244022
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=1.000000, score=0.251122
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.005000, score=0.216491
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=5.000000, score=0.248845
BOW with k=1024, scale=Z-score, SVM with linear kernel, C=0.010000, score=0.203698
BOW with k=1024, scale=Z-score, SVM with rbf kernel, C=10.000000, score=0.247371

