FV with k=8, Z-score, SVM with linear kernel, C=0.000500, score=0.249447
FV with k=8, Z-score, SVM with rbf kernel, C=0.500000, score=0.257887
FV with k=8, Z-score, SVM with linear kernel, C=0.001000, score=0.259428
FV with k=8, Z-score, SVM with rbf kernel, C=1.000000, score=0.256146
FV with k=8, Z-score, SVM with linear kernel, C=0.005000, score=0.260768
FV with k=8, Z-score, SVM with rbf kernel, C=5.000000, score=0.246835
FV with k=8, Z-score, SVM with linear kernel, C=0.010000, score=0.256012
FV with k=8, Z-score, SVM with rbf kernel, C=10.000000, score=0.244826
FV with k=4, Z-score, SVM with linear kernel, C=0.000500, score=0.250452
FV with k=4, Z-score, SVM with rbf kernel, C=0.500000, score=0.269676
FV with k=4, Z-score, SVM with linear kernel, C=0.001000, score=0.266193
FV with k=4, Z-score, SVM with rbf kernel, C=1.000000, score=0.270346
FV with k=4, Z-score, SVM with linear kernel, C=0.005000, score=0.268873
FV with k=4, Z-score, SVM with rbf kernel, C=5.000000, score=0.258959
FV with k=4, Z-score, SVM with linear kernel, C=0.010000, score=0.268940
FV with k=4, Z-score, SVM with rbf kernel, C=10.000000, score=0.254337
FV with k=16, Z-score, SVM with linear kernel, C=0.000500, score=0.231295
FV with k=16, Z-score, SVM with rbf kernel, C=0.500000, score=0.233438
FV with k=16, Z-score, SVM with linear kernel, C=0.001000, score=0.235113
FV with k=16, Z-score, SVM with rbf kernel, C=1.000000, score=0.228013
FV with k=16, Z-score, SVM with linear kernel, C=0.005000, score=0.233639
FV with k=16, Z-score, SVM with rbf kernel, C=5.000000, score=0.219841
FV with k=16, Z-score, SVM with linear kernel, C=0.010000, score=0.231563
FV with k=16, Z-score, SVM with rbf kernel, C=10.000000, score=0.219037
