FV with k=8, Z-score, SVM with linear kernel, C=0.000500, score=0.255677
FV with k=8, Z-score, SVM with rbf kernel, C=0.500000, score=0.044544
FV with k=8, Z-score, SVM with linear kernel, C=0.001000, score=0.260634
FV with k=8, Z-score, SVM with rbf kernel, C=1.000000, score=0.044745
FV with k=8, Z-score, SVM with linear kernel, C=0.005000, score=0.259763
FV with k=8, Z-score, SVM with rbf kernel, C=5.000000, score=0.045348
FV with k=8, Z-score, SVM with linear kernel, C=0.010000, score=0.258758
FV with k=8, Z-score, SVM with rbf kernel, C=10.000000, score=0.045348
FV with k=4, Z-score, SVM with linear kernel, C=0.000500, score=0.242012
FV with k=4, Z-score, SVM with rbf kernel, C=0.500000, score=0.047692
FV with k=4, Z-score, SVM with linear kernel, C=0.001000, score=0.248978
FV with k=4, Z-score, SVM with rbf kernel, C=1.000000, score=0.082926
FV with k=4, Z-score, SVM with linear kernel, C=0.005000, score=0.253065
FV with k=4, Z-score, SVM with rbf kernel, C=5.000000, score=0.098801
FV with k=4, Z-score, SVM with linear kernel, C=0.010000, score=0.252596
FV with k=4, Z-score, SVM with rbf kernel, C=10.000000, score=0.098801
FV with k=16, Z-score, SVM with linear kernel, C=0.000500, score=0.263045
FV with k=16, Z-score, SVM with rbf kernel, C=0.500000, score=0.043606
FV with k=16, Z-score, SVM with linear kernel, C=0.001000, score=0.265590
FV with k=16, Z-score, SVM with rbf kernel, C=1.000000, score=0.043606
FV with k=16, Z-score, SVM with linear kernel, C=0.005000, score=0.265523
FV with k=16, Z-score, SVM with rbf kernel, C=5.000000, score=0.043606
FV with k=16, Z-score, SVM with linear kernel, C=0.010000, score=0.265858
FV with k=16, Z-score, SVM with rbf kernel, C=10.000000, score=0.043606
