VLAD with k=8, Z-score, SVM with linear kernel, C=0.000500, score=0.243754
VLAD with k=8, Z-score, SVM with rbf kernel, C=0.500000, score=0.059013
VLAD with k=8, Z-score, SVM with linear kernel, C=0.001000, score=0.249916
VLAD with k=8, Z-score, SVM with rbf kernel, C=1.000000, score=0.080983
VLAD with k=8, Z-score, SVM with linear kernel, C=0.005000, score=0.249179
VLAD with k=8, Z-score, SVM with rbf kernel, C=5.000000, score=0.088619
VLAD with k=8, Z-score, SVM with linear kernel, C=0.010000, score=0.248912
VLAD with k=8, Z-score, SVM with rbf kernel, C=10.000000, score=0.088887
VLAD with k=16, Z-score, SVM with linear kernel, C=0.000500, score=0.264452
VLAD with k=16, Z-score, SVM with rbf kernel, C=0.500000, score=0.050908
VLAD with k=16, Z-score, SVM with linear kernel, C=0.001000, score=0.266059
VLAD with k=16, Z-score, SVM with rbf kernel, C=1.000000, score=0.062764
VLAD with k=16, Z-score, SVM with linear kernel, C=0.005000, score=0.264653
VLAD with k=16, Z-score, SVM with rbf kernel, C=5.000000, score=0.068323
VLAD with k=16, Z-score, SVM with linear kernel, C=0.010000, score=0.262509
VLAD with k=16, Z-score, SVM with rbf kernel, C=10.000000, score=0.068390
VLAD with k=4, Z-score, SVM with linear kernel, C=0.000500, score=0.238998
VLAD with k=4, Z-score, SVM with rbf kernel, C=0.500000, score=0.091500
VLAD with k=4, Z-score, SVM with linear kernel, C=0.001000, score=0.247639
VLAD with k=4, Z-score, SVM with rbf kernel, C=1.000000, score=0.157479
VLAD with k=4, Z-score, SVM with linear kernel, C=0.005000, score=0.251323
VLAD with k=4, Z-score, SVM with rbf kernel, C=5.000000, score=0.163373
VLAD with k=4, Z-score, SVM with linear kernel, C=0.010000, score=0.251390
VLAD with k=4, Z-score, SVM with rbf kernel, C=10.000000, score=0.162837
